Model,Data,AUC-ROC,F1
LogisticRegression,No Sqrt,0.9444063154319204,0.7313432835820896
DecisionTreeClassifier,No Sqrt,0.8579322499201508,0.7464788732394366
RandomForestClassifier,No Sqrt,0.937261720076858,0.8529411764705882
LogisticRegression,Sqrt V1-V28,0.9595215643330443,0.7714285714285715
DecisionTreeClassifier,Sqrt V1-V28,0.8579322499201508,0.7464788732394366
RandomForestClassifier,Sqrt V1-V28,0.9373990795804246,0.8529411764705882
